万科阳光苑 ,2室2厅,88.73平米,南,精装,低楼层(共5层),闵行,500,"56,351元/平"
罗阳二村 ,2室1厅,71.57平米,南,简装,中楼层(共6层),闵行,409,"57,147元/平"
东苑古龙城(公寓) ,3室2厅,141平米,南,精装,低楼层(共18层),闵行,1430,"101,419元/平"
九歌上郡 ,1室1厅,49.23平米,南,精装,中楼层(共11层),闵行,479,"97,299元/平"
清馨苑 ,3室2厅,86.83平米,南,精装,低楼层(共6层),闵行,484,"55,742元/平"
畅馨园 ,3室2厅,130.22平米,南 北,简装,中楼层(共6层),闵行,639,"49,071元/平"
牡丹公寓 ,2室1厅,72.77平米,南,简装,高楼层(共6层),闵行,480,"65,962元/平"
华光花园 ,6室1厅,193.83平米,南 北,简装,高楼层(共5层),闵行,1069,"55,152元/平"
金虹桥东苑怡和园 ,5室3厅,201.47平米,南,简装,高楼层(共6层),闵行,1450,"71,972元/平"
君临天下(别墅) ,4室2厅,196.88平米,南,精装,低楼层(共3层),闵行,1460,"74,157元/平"
富仕名邸 ,3室2厅,121.36平米,南 北,简装,中楼层(共6层),闵行,488,"40,211元/平"
静安新城三区 ,2室1厅,64.91平米,南,简装,高楼层(共7层),闵行,450,"69,327元/平"
蔷薇新村 ,1室1厅,51.81平米,南,精装,高楼层(共6层),闵行,260,"50,184元/平"
罗阳四村 ,2室1厅,59.27平米,南 北,简装,中楼层(共6层),闵行,360,"60,739元/平"
罗阳四村 ,2室2厅,61.83平米,南,精装,高楼层(共6层),闵行,378,"61,136元/平"
龙柏城市花园 ,3室2厅,150.82平米,南,简装,中楼层(共6层),闵行,1100,"72,935元/平"
园艺新村 ,3室1厅,70.47平米,南,简装,高楼层(共6层),闵行,520,"73,791元/平"
海申花园 ,3室2厅,127.26平米,南,简装,中楼层(共20层),闵行,940,"73,865元/平"
江南星城(一期) ,2室2厅,88.85平米,南,精装,中楼层(共6层),闵行,798,"89,815元/平"
锦绣江南(二期) ,2室2厅,109.06平米,南,精装,低楼层(共11层),闵行,960,"88,025元/平"
小富人家 ,3室1厅,103.41平米,南 北,简装,高楼层(共6层),闵行,680,"65,758元/平"
南国花园 ,3室1厅,99平米,南 北,精装,中楼层(共7层),闵行,691,"69,798元/平"
蔷薇新村 ,2室2厅,74平米,南,简装,中楼层(共6层),闵行,372,"50,271元/平"
合生城邦四街坊 ,2室1厅,95.53平米,南,精装,低楼层(共18层),闵行,487,"50,979元/平"
泰景苑 ,2室2厅,78.15平米,南,精装,低楼层(共6层),闵行,558,"71,402元/平"
欣源公寓 ,3室2厅,87.76平米,南 北,简装,高楼层(共6层),闵行,600,"68,369元/平"
永兴小区 ,2室1厅,74.58平米,南,精装,高楼层(共6层),闵行,405,"54,305元/平"
氯碱小区 ,3室2厅,91.77平米,南 北,精装,低楼层(共18层),闵行,343,"37,377元/平"
爱庐世纪新苑 ,2室2厅,84.33平米,南,精装,低楼层(共4层),闵行,465,"55,141元/平"
昆阳小区 ,4室2厅,155.15平米,南 北,简装,高楼层(共4层),闵行,390,"25,137元/平"
莘松三村 ,1室1厅,45.59平米,南,简装,低楼层(共6层),闵行,425,"93,223元/平"
新明星花园 ,3室1厅,103.87平米,南,简装,高楼层(共6层),闵行,620,"59,690元/平"
莘松三村 ,1室1厅,45.59平米,南,简装,低楼层(共6层),闵行,425,"93,223元/平"
氯碱小区 ,3室2厅,91.77平米,南 北,精装,低楼层(共18层),闵行,343,"37,377元/平"
永兴小区 ,2室1厅,74.58平米,南,精装,高楼层(共6层),闵行,405,"54,305元/平"
报春二村 ,2室1厅,69.53平米,南 北,简装,低楼层(共6层),闵行,410,"58,968元/平"
东方花园(一期) ,4室2厅,130.79平米,南 北,精装,高楼层(共6层),闵行,1090,"83,340元/平"
浦江世博家园七街坊 ,2室2厅,80.59平米,南 北,精装,中楼层(共5层),闵行,470,"58,320元/平"
骏苑(二期) ,3室2厅,109.36平米,南,精装,低楼层(共11层),闵行,455,"41,606元/平"
西湖苑 ,2室1厅,50.65平米,南,简装,高楼层(共6层),闵行,265,"52,320元/平"
好世凤凰城 ,3室2厅,132.92平米,南 北,简装,中楼层(共5层),闵行,950,"71,472元/平"
阳明国际花苑一二三期 ,2室2厅,100.92平米,南,精装,高楼层(共6层),闵行,750,"74,317元/平"
上海阳城 ,3室2厅,105.18平米,南,简装,中楼层(共6层),闵行,950,"90,322元/平"
梅陇一村 ,2室1厅,60.36平米,南 北,简装,低楼层(共6层),闵行,385,"63,784元/平"
梅陇一村 ,1室1厅,45.29平米,南,简装,中楼层(共6层),闵行,289,"63,811元/平"
万泰花园 ,2室1厅,65.76平米,南,精装,中楼层(共6层),闵行,520,"79,076元/平"
华漕新村 ,2室2厅,87.33平米,南,简装,高楼层(共6层),闵行,390,"44,659元/平"
红旗四街坊 ,3室2厅,97.29平米,南,简装,中楼层(共6层),闵行,370,"38,031元/平"
华梅花苑 ,3室2厅,133.61平米,南,简装,高楼层(共6层),闵行,985,"73,723元/平"
鹤北新村 ,2室1厅,62.58平米,南 北,精装,低楼层(共6层),闵行,310,"49,537元/平"
莘南花苑一村 ,3室1厅,105.42平米,南,简装,中楼层(共6层),闵行,768,"72,852元/平"
东新街18号 ,2室2厅,81.54平米,南 北,精装,低楼层(共6层),闵行,275,"33,726元/平"
名仕世家花苑 ,2室1厅,88.61平米,南,精装,低楼层(共6层),闵行,570,"64,327元/平"
上海春城 ,2室2厅,92.28平米,南,精装,低楼层(共11层),闵行,828,"89,727元/平"
上海康城 ,2室2厅,101.09平米,南,精装,中楼层(共15层),闵行,518,"51,242元/平"
当代万国府MOMA ,2室1厅,73.21平米,南 北,简装,低楼层(共17层),闵行,521,"71,166元/平"
龙柏七村 ,2室1厅,77.42平米,南,毛坯,高楼层(共6层),闵行,550,"71,042元/平"
永兴小区 ,1室1厅,43.47平米,南,简装,高楼层(共6层),闵行,255,"58,662元/平"
滨浦新苑四村 ,3室2厅,117.43平米,南 北,简装,低楼层(共11层),闵行,550,"46,837元/平"
三佳花苑 ,2室2厅,79.57平米,南,简装,高楼层(共6层),闵行,610,"76,663元/平"
莘城苑 ,1室1厅,68.32平米,南,精装,中楼层(共6层),闵行,350,"51,230元/平"
虹鹿一公寓 ,2室1厅,51.59平米,南,简装,高楼层(共6层),闵行,308,"59,702元/平"
新华小区（龙吴路5599弄） ,2室1厅,81.28平米,南,精装,高楼层(共6层),闵行,325,"39,986元/平"
新华小区（龙吴路5599弄） ,2室1厅,76.11平米,南,简装,低楼层(共6层),闵行,320,"42,045元/平"
贵峰苑 ,5室2厅,147.7平米,南,精装,高楼层(共6层),闵行,765,"51,795元/平"
望族新苑 ,5室3厅,185.86平米,南,精装,高楼层(共6层),闵行,1650,"88,777元/平"
绿城玫瑰园 ,5室3厅,750.17平米,南,毛坯,2层,闵行,6350,"84,648元/平"
大上海国际花园 ,3室2厅,167.14平米,南,精装,高楼层(共6层),闵行,1212,"72,515元/平"
南国花园 ,4室2厅,155.75平米,南,简装,中楼层(共7层),闵行,920,"59,070元/平"
好世樱园 ,4室2厅,215.84平米,东,精装,3层,闵行,1350,"62,547元/平"
天籁园 ,4室2厅,236.4平米,南,精装,2层,闵行,1658,"70,136元/平"
日月华庭 ,5室3厅,211.55平米,南,简装,高楼层(共6层),闵行,938,"44,340元/平"
万源城朗郡 ,5室2厅,314.85平米,南,精装,低楼层(共17层),闵行,2980,"94,649元/平"
新明星花园 ,3室2厅,124.52平米,南,简装,高楼层(共6层),闵行,758,"60,874元/平"
龙柏公寓 ,3室2厅,137.34平米,南 北,精装,高楼层(共6层),闵行,885,"64,439元/平"
广海花园 ,3室1厅,104.42平米,南,精装,高楼层(共6层),闵行,793,"75,944元/平"
南国花园 ,4室2厅,155.75平米,南 北,精装,中楼层(共7层),闵行,948,"60,867元/平"
华光花园 ,5室2厅,193.83平米,南,简装,低楼层(共5层),闵行,1350,"69,649元/平"
和润家园(公寓) ,3室2厅,146.28平米,南,简装,中楼层(共11层),闵行,1268,"86,684元/平"
九歌上郡 ,4室2厅,213.03平米,南,精装,中楼层(共4层),闵行,2100,"98,578元/平"
朱行新四村 ,1室1厅,57.67平米,南,精装,高楼层(共6层),闵行,315,"54,622元/平"
新申花城茉莉苑 ,2室1厅,52.82平米,南,精装,低楼层(共6层),闵行,452,"85,574元/平"
莘松三村 ,2室1厅,52.67平米,南,简装,高楼层(共6层),闵行,415,"78,793元/平"
春申玫瑰苑 ,2室2厅,98.34平米,南,精装,中楼层(共12层),闵行,850,"86,435元/平"
古美一村 ,2室1厅,58.41平米,南,简装,低楼层(共6层),闵行,410,"70,194元/平"
金泰公寓 ,2室1厅,59.86平米,南,简装,高楼层(共6层),闵行,520,"86,870元/平"
三佳花苑 ,2室1厅,58.48平米,南,精装,高楼层(共6层),闵行,570,"97,470元/平"
金都花好悦园 ,2室1厅,91.14平米,南,简装,中楼层(共6层),闵行,605,"66,382元/平"
莘松五村 ,1室1厅,38.99平米,南 北,精装,中楼层(共5层),闵行,378,"96,948元/平"
宝仪花苑 ,2室2厅,81.11平米,南,简装,低楼层(共6层),闵行,730,"90,002元/平"
都市星城 ,2室2厅,91.58平米,南,简装,中楼层(共11层),闵行,835,"91,178元/平"
金铭文博水景(公寓) ,1室2厅,91.97平米,南 北,简装,低楼层(共14层),闵行,545,"59,259元/平"
三佳花苑 ,2室1厅,61.07平米,南,精装,低楼层(共6层),闵行,530,"86,786元/平"
富林苑(一期) ,2室2厅,85.43平米,南,精装,中楼层(共6层),闵行,530,"62,040元/平"
都市星城 ,2室2厅,91.58平米,南,简装,中楼层(共11层),闵行,835,"91,178元/平"
宝安新苑 ,2室2厅,96.34平米,南,简装,高楼层(共6层),闵行,593,"61,553元/平"
晶欣坊 ,1室1厅,54.5平米,南 北,毛坯,高楼层(共18层),闵行,442,"81,101元/平"
万科假日风景(公寓) ,2室2厅,98.6平米,南,精装,中楼层(共8层),闵行,865,"87,729元/平"
金铭文博水景(公寓) ,1室2厅,91.97平米,南 北,简装,低楼层(共14层),闵行,545,"59,259元/平"
宝隆新村 ,2室1厅,73.12平米,南,简装,高楼层(共6层),闵行,580,"79,322元/平"
春馨苑 ,2室2厅,81.34平米,南 北,精装,高楼层(共7层),闵行,500,"61,471元/平"
银桥花园 ,2室1厅,85.44平米,南 北,精装,高楼层(共6层),闵行,363,"42,486元/平"
三佳花苑 ,2室1厅,50.22平米,南 北,简装,中楼层(共6层),闵行,450,"89,606元/平"
富林苑(一期) ,1室1厅,50.29平米,南,简装,中楼层(共6层),闵行,337,"67,012元/平"
鸿福新村 ,1室1厅,49.26平米,南,简装,低楼层(共6层),闵行,275,"55,827元/平"
金铭文博水景(公寓) ,2室2厅,109.87平米,南,简装,高楼层(共14层),闵行,744,"67,717元/平"
贵峰苑 ,1室1厅,47.3平米,南,简装,高楼层(共6层),闵行,285,"60,254元/平"
万科假日风景(公寓) ,2室2厅,92.01平米,南,精装,中楼层(共5层),闵行,839,"91,186元/平"
上陇新村 ,1室1厅,56.16平米,南 北,简装,中楼层(共6层),闵行,315,"56,090元/平"
牡丹新村 ,2室1厅,65.29平米,南,简装,低楼层(共6层),闵行,499,"76,429元/平"
佳宝新村 ,2室1厅,67.99平米,南,简装,高楼层(共6层),闵行,468,"68,834元/平"
春申景城MIDTOWN ,2室1厅,107.52平米,南,精装,高楼层(共14层),闵行,1080,"100,447元/平"
景舒苑三村 ,2室2厅,92.64平米,东 西,简装,高楼层(共6层),闵行,465,"50,195元/平"
万科假日风景(公寓) ,2室2厅,91.9平米,南,精装,低楼层(共6层),闵行,808,"87,922元/平"
浦江馨都 ,2室2厅,75.76平米,南 北,毛坯,低楼层(共17层),闵行,320,"42,239元/平"
江南星城(二期) ,2室2厅,99.4平米,南,简装,低楼层(共11层),闵行,878,"88,330元/平"
畅馨园 ,3室2厅,127.47平米,南,精装,低楼层(共6层),闵行,659,"51,699元/平"
万科假日风景(公寓) ,3室2厅,97.75平米,南 北,精装,高楼层(共6层),闵行,880,"90,026元/平"
新梅花苑 ,3室1厅,125.6平米,南,简装,高楼层(共6层),闵行,760,"60,510元/平"
万泰公寓 ,2室2厅,102.89平米,南 北,精装,低楼层(共6层),闵行,749,"72,797元/平"
阳光美景城一期 ,3室2厅,151.38平米,南 北,简装,高楼层(共21层),闵行,1315,"86,868元/平"
上海康城 ,3室2厅,118.72平米,东南 南,毛坯,高楼层(共12层),闵行,570,"48,013元/平"
万科公园大道 ,3室2厅,98.02平米,南,精装,低楼层(共28层),闵行,566,"57,744元/平"
虹梅景苑一街坊 ,2室2厅,86.48平米,南,简装,中楼层(共6层),闵行,438,"50,648元/平"
平阳绿家园 ,3室2厅,115.85平米,南,精装,中楼层(共6层),闵行,915,"78,982元/平"
上海春城 ,2室2厅,116.53平米,南,简装,中楼层(共17层),闵行,910,"78,092元/平"
上海春城 ,3室2厅,140.95平米,南,简装,低楼层(共9层),闵行,1078,"76,482元/平"
古美十村 ,2室1厅,71.55平米,南,简装,高楼层(共6层),闵行,465,"64,990元/平"
鸿发家园 ,3室2厅,126.42平米,南 北,精装,低楼层(共9层),闵行,930,"73,565元/平"
航华一村 ,2室1厅,71.75平米,南,其他,高楼层(共6层),闵行,377,"52,544元/平"
君莲宏润丽苑 ,3室2厅,104.33平米,南 北,毛坯,低楼层(共18层),闵行,605,"57,990元/平"
万科城 ,3室2厅,102.56平米,南 北,精装,中楼层(共28层),闵行,583,"56,845元/平"
申莘新村 ,3室2厅,87.85平米,南,简装,高楼层(共6层),闵行,452,"51,452元/平"
浦江世博家园七街坊 ,2室1厅,82.2平米,南 北,毛坯,高楼层(共5层),闵行,470,"57,178元/平"
浦江世博家园七街坊 ,2室2厅,82.2平米,南 北,简装,高楼层(共5层),闵行,470,"57,178元/平"
未名园 ,2室2厅,97.01平米,南,简装,低楼层(共11层),闵行,750,"77,312元/平"
夏朵园 ,2室2厅,102.17平米,南 北,简装,低楼层(共14层),闵行,462,"45,219元/平"
报春四村 ,2室1厅,62.79平米,南,简装,中楼层(共6层),闵行,408,"64,979元/平"
新时代富嘉花园 ,2室2厅,107.46平米,南,精装,中楼层(共12层),闵行,1080,"100,503元/平"
合生城邦三街坊 ,2室2厅,102.89平米,南 北,精装,中楼层(共11层),闵行,550,"53,456元/平"
大虹桥国际 ,1室1厅,70.28平米,南,精装,中楼层(共23层),闵行,510,"72,567元/平"
古龙苑 ,2室2厅,93.85平米,南,精装,低楼层(共6层),闵行,755,"80,448元/平"
静安新城九区 ,3室1厅,80.27平米,南,精装,高楼层(共7层),闵行,590,"73,502元/平"
君莲宏润丽苑 ,2室2厅,84.71平米,南 北,精装,低楼层(共18层),闵行,498,"58,789元/平"
中梅苑 ,2室2厅,96.22平米,南,简装,中楼层(共11层),闵行,778,"80,857元/平"
锦梅馨苑 ,3室2厅,126.68平米,南 北,简装,低楼层(共18层),闵行,995,"78,545元/平"
春馨苑 ,3室2厅,95.97平米,南 北,简装,低楼层(共6层),闵行,610,"63,562元/平"
龙柏二村 ,3室1厅,77.02平米,南 北,简装,高楼层(共6层),闵行,520,"67,515元/平"
华唐苑 ,5室2厅,187.46平米,南 北,简装,高楼层(共6层),闵行,930,"49,611元/平"
春申景城湖滨晨韵 ,3室2厅,117.52平米,南,简装,低楼层(共17层),闵行,1070,"91,049元/平"
莘闵花园 ,4室2厅,164.4平米,南,简装,高楼层(共6层),闵行,670,"40,755元/平"
浦江世博家园八街坊 ,2室1厅,75.28平米,南 北,精装,低楼层(共5层),闵行,430,"57,121元/平"
浦江世博家园八街坊 ,2室1厅,75.28平米,南 北,精装,低楼层(共5层),闵行,430,"57,121元/平"
春馨苑 ,3室2厅,95.97平米,南 北,简装,低楼层(共6层),闵行,610,"63,562元/平"
龙柏二村 ,3室1厅,77.02平米,南 北,简装,高楼层(共6层),闵行,520,"67,515元/平"
平阳新村四街坊 ,2室1厅,74.29平米,南,毛坯,低楼层(共5层),闵行,500,"67,304元/平"
吴中路870弄 ,2室1厅,54.56平米,南 北,简装,高楼层(共6层),闵行,351,"64,333元/平"
名都新城（一、二期） ,3室1厅,132.06平米,南 西南,精装,中楼层(共16层),闵行,920,"69,666元/平"
金铭文博水景(公寓) ,2室2厅,88.81平米,南,毛坯,低楼层(共8层),闵行,540,"60,804元/平"
万科假日风景(公寓) ,3室2厅,126.53平米,南,精装,高楼层(共6层),闵行,1060,"83,775元/平"
瑞和华苑 ,2室2厅,83.39平米,南 北,毛坯,低楼层(共11层),闵行,340,"40,773元/平"
颛溪七村 ,3室2厅,113.15平米,南,简装,高楼层(共6层),闵行,539,"47,636元/平"
航华一村 ,2室1厅,65.09平米,南 北,简装,中楼层(共6层),闵行,334,"51,314元/平"
欧风花都 ,2室2厅,101.53平米,南,简装,中楼层(共5层),闵行,910,"89,629元/平"
紫藤二村 ,2室1厅,63.01平米,南,简装,高楼层(共6层),闵行,379,"60,150元/平"
张家宅小区 ,2室1厅,56.74平米,南,精装,高楼层(共6层),闵行,430,"75,785元/平"
颛溪五村 ,3室2厅,105.83平米,南 北,精装,中楼层(共6层),闵行,508,"48,002元/平"
航华二村嘉丰公寓 ,2室2厅,110.56平米,南 北,简装,中楼层(共6层),闵行,630,"56,983元/平"
春晖小区 ,2室1厅,65.45平米,南,简装,中楼层(共6层),闵行,335,"51,185元/平"
虹桥花苑 ,3室2厅,146.88平米,南,精装,低楼层(共16层),闵行,1160,"78,977元/平"
古北虹苑（一期） ,2室2厅,68.29平米,南,精装,高楼层(共6层),闵行,532,"77,904元/平"
上海阳城 ,2室2厅,88.13平米,南,简装,中楼层(共6层),闵行,758,"86,010元/平"
新梅公寓一期 ,2室2厅,116.21平米,南,简装,中楼层(共7层),闵行,710,"61,097元/平"
江南星城(二期) ,2室2厅,87.74平米,南,精装,低楼层(共6层),闵行,800,"91,179元/平"
宝隆新村 ,3室1厅,83.6平米,南 北,精装,中楼层(共8层),闵行,660,"78,948元/平"
龙柏五村 ,2室1厅,66.54平米,南,简装,中楼层(共6层),闵行,466,"70,034元/平"
莘东两湾新苑 ,2室2厅,88.31平米,南,简装,中楼层(共18层),闵行,730,"82,664元/平"
浦江坤庭—璞御 ,3室2厅,137.95平米,南,精装,低楼层(共5层),闵行,1139,"82,567元/平"
华梅花苑 ,2室1厅,57.64平米,南,简装,高楼层(共6层),闵行,455,"78,939元/平"
上海阳城 ,5室2厅,118.28平米,南,简装,高楼层(共6层),闵行,1050,"88,773元/平"
红旗三村 ,2室1厅,56.06平米,南 北,精装,高楼层(共6层),闵行,192,"34,250元/平"
万科假日风景(公寓) ,3室2厅,126.22平米,南 北,精装,中楼层(共6层),闵行,1128,"89,368元/平"
华梅花苑 ,3室1厅,99.66平米,南,简装,高楼层(共6层),闵行,830,"83,284元/平"
景舒苑一村 ,3室2厅,117.42平米,南 北,简装,中楼层(共6层),闵行,620,"52,802元/平"
东方花园二期 ,2室2厅,96.99平米,南,精装,中楼层(共14层),闵行,934,"96,299元/平"
万科假日风景(公寓) ,3室2厅,126.22平米,南 北,精装,中楼层(共6层),闵行,1128,"89,368元/平"
中祥哥德堡 ,2室2厅,104.17平米,南,精装,低楼层(共20层),闵行,780,"74,878元/平"
好世鹿鸣苑 ,1室2厅,67.49平米,南,精装,高楼层(共17层),闵行,670,"99,274元/平"
浦江世博家园十五街坊 ,3室2厅,99.9平米,南 北,简装,中楼层(共11层),闵行,615,"61,562元/平"
航华二村梧柏小区 ,2室1厅,61.87平米,南,简装,高楼层(共6层),闵行,350,"56,571元/平"
茂盛城市花园 ,3室2厅,125.98平米,南 北,简装,低楼层(共6层),闵行,1150,"91,285元/平"
春申府邸 ,3室2厅,122平米,南,简装,高楼层(共6层),闵行,830,"68,033元/平"
东苑新天地 ,3室2厅,116.21平米,南,简装,高楼层(共14层),闵行,886,"76,242元/平"
绿地春申花园 ,4室1厅,139平米,南,精装,高楼层(共6层),闵行,1290,"92,806元/平"
报春一村 ,2室1厅,71.51平米,南 北,简装,中楼层(共6层),闵行,398,"55,657元/平"
景浦公寓 ,2室1厅,81.46平米,南,简装,低楼层(共6层),闵行,340,"41,739元/平"
金都花好悦园 ,2室2厅,93.11平米,南,简装,高楼层(共6层),闵行,565,"60,681元/平"
万科城市花园 ,2室2厅,89.33平米,东北,精装,低楼层(共12层),闵行,618,"69,182元/平"
静安新城四区 ,2室1厅,61.64平米,南,简装,中楼层(共6层),闵行,490,"79,494元/平"
绿茵苑(闵行) ,3室2厅,142.44平米,南 北,精装,中楼层(共17层),闵行,888,"62,343元/平"
金城绿苑(公寓) ,3室2厅,135.68平米,南,精装,低楼层(共3层),闵行,838,"61,763元/平"
龙柏七村 ,3室1厅,91.3平米,南,简装,高楼层(共6层),闵行,608,"66,594元/平"
名都城(公寓) ,2室2厅,107.27平米,南,精装,高楼层(共8层),闵行,990,"92,291元/平"
汇颂南苑 ,2室1厅,75.68平米,南 北,精装,低楼层(共11层),闵行,308,"40,698元/平"
新浦江城(浦申路1288弄) ,5室2厅,303.28平米,南,精装,低楼层(共4层),闵行,1950,"64,298元/平"
新浦江城(江栀路350弄) ,4室2厅,202.78平米,南 北,精装,中楼层(共4层),闵行,1740,"85,808元/平"
万科城市花园 ,3室2厅,165.67平米,南,简装,高楼层(共5层),闵行,1088,"65,673元/平"
华都公寓 ,3室3厅,169.49平米,东 南 北,简装,低楼层(共8层),闵行,1080,"63,721元/平"
金汇华光城 ,5室2厅,243平米,南,精装,高楼层(共10层),闵行,1750,"72,017元/平"
中房森林别墅 ,5室2厅,557.31平米,南,精装,2层,闵行,3500,"62,802元/平"
南国花园 ,3室2厅,137.21平米,南,精装,低楼层(共7层),闵行,888,"64,719元/平"
绿茵苑(闵行) ,6室2厅,256.41平米,南,简装,低楼层(共17层),闵行,1560,"60,841元/平"
新时代花园 ,5室3厅,175.87平米,南,简装,高楼层(共6层),闵行,1320,"75,056元/平"
华光花园 ,3室2厅,123.67平米,南,精装,高楼层(共6层),闵行,880,"71,158元/平"
航华一村二街坊 ,3室1厅,113.62平米,南,简装,低楼层(共6层),闵行,620,"54,568元/平"
金汇华光城 ,4室2厅,236.24平米,南 北,精装,中楼层(共13层),闵行,1850,"78,311元/平"
名都城(公寓) ,3室2厅,158.91平米,南,精装,高楼层(共14层),闵行,1266,"79,668元/平"
新浦江城(江桦路399弄) ,5室2厅,205.09平米,东南,精装,1层,闵行,1398,"68,166元/平"
古北新城 ,3室2厅,112.93平米,南,简装,高楼层(共25层),闵行,840,"74,383元/平"
合生城邦三街坊 ,3室2厅,144.72平米,南,精装,低楼层(共11层),闵行,733,"50,650元/平"
东江小区 ,3室2厅,112.67平米,南 北,精装,低楼层(共18层),闵行,405,"35,946元/平"
浦江坤庭—翠御 ,3室2厅,151平米,南 北,精装,中楼层(共5层),闵行,1280,"84,769元/平"
阳明国际花苑五期 ,4室2厅,141.5平米,南 北,精装,高楼层(共11层),闵行,1100,"77,739元/平"
虹桥花苑 ,5室2厅,228.53平米,南,精装,低楼层(共16层),闵行,1900,"83,141元/平"
名都城(公寓) ,3室2厅,158.49平米,南,精装,中楼层(共14层),闵行,1265,"79,816元/平"
龙柏七村公寓 ,3室2厅,139.76平米,南,精装,高楼层(共6层),闵行,820,"58,673元/平"
金臣汇 ,4室1厅,257.93平米,南 北,精装,中楼层(共9层),闵行,2200,"85,295元/平"
一品漫城二期（公寓） ,5室2厅,231.36平米,南,精装,11层,闵行,2100,"90,768元/平"
名都城(公寓) ,3室2厅,139.5平米,南,精装,低楼层(共14层),闵行,1197,"85,807元/平"
新浦江城（四期） ,3室2厅,233.75平米,南,毛坯,4层,闵行,1780,"76,150元/平"
阳明国际花苑一二三期 ,5室2厅,286.44平米,南 北,精装,中楼层(共5层),闵行,2300,"80,297元/平"
新浦江城(江栀路350弄) ,4室2厅,303.32平米,南 北,毛坯,低楼层(共4层),闵行,1775,"58,520元/平"
塘泾南苑 ,3室2厅,124.39平米,南,简装,中楼层(共14层),闵行,710,"57,079元/平"
古北新城 ,2室2厅,81.6平米,南,简装,中楼层(共6层),闵行,685,"83,947元/平"
华宝花园 ,3室2厅,115平米,南,简装,高楼层(共6层),闵行,860,"74,783元/平"
上海星河湾 ,4室3厅,285.39平米,南,精装,26层,闵行,2276,"79,751元/平"
名都城(公寓) ,3室2厅,154.63平米,西南,简装,中楼层(共9层),闵行,1340,"86,659元/平"
金汇华光城 ,4室2厅,225.37平米,南,精装,中楼层(共13层),闵行,1727,"76,630元/平"
金汇鸿锦苑 ,6室3厅,222.68平米,南,精装,高楼层(共6层),闵行,1580,"70,954元/平"
锦绣江南(一期) ,4室2厅,188.75平米,南,精装,高楼层(共5层),闵行,1575,"83,444元/平"
万博家园 ,3室2厅,125.94平米,南 北,精装,低楼层(共13层),闵行,625,"49,627元/平"
航华一村二街坊 ,4室2厅,141.49平米,南 北,简装,低楼层(共6层),闵行,775,"54,775元/平"
航华一村二街坊 ,4室2厅,141.49平米,南 北,简装,低楼层(共6层),闵行,775,"54,775元/平"
丹桂花园 ,3室2厅,137.69平米,南,简装,中楼层(共6层),闵行,735,"53,381元/平"
华光花园 ,4室3厅,242.07平米,南,精装,高楼层(共6层),闵行,1690,"69,815元/平"
龙柏城市花园 ,5室3厅,197.53平米,南 北,精装,高楼层(共6层),闵行,1330,"67,332元/平"
上海星河湾 ,4室3厅,285.39平米,南,精装,26层,闵行,2276,"79,751元/平"
名都城(公寓) ,3室2厅,157.28平米,南,精装,低楼层(共14层),闵行,1258,"79,985元/平"
流晶逸彩 ,3室3厅,147.52平米,南,简装,高楼层(共6层),闵行,999,"67,720元/平"
虹鹿二公寓 ,4室2厅,152.89平米,南,简装,中楼层(共6层),闵行,860,"56,250元/平"
南方新村 ,1室1厅,49.53平米,南 北,简装,高楼层(共6层),闵行,375,"75,712元/平"
朱行四村 ,2室1厅,66.19平米,南,精装,高楼层(共6层),闵行,367,"55,447元/平"
高兴花园二三四街坊 ,2室1厅,64.49平米,南,简装,低楼层(共6层),闵行,460,"71,329元/平"
古美西路420弄 ,2室1厅,74.03平米,南,简装,高楼层(共6层),闵行,520,"70,242元/平"
万兆家园(一期) ,1室1厅,52.55平米,南,精装,高楼层(共6层),闵行,398,"75,738元/平"
茂盛城市花园 ,2室1厅,70.48平米,南,简装,中楼层(共6层),闵行,608,"86,266元/平"
银河新都 ,2室1厅,68.75平米,南,简装,中楼层(共11层),闵行,428,"62,255元/平"
莘城苑 ,1室2厅,68.32平米,南,精装,中楼层(共6层),闵行,350,"51,230元/平"
罗阳七村(三洲花园) ,2室1厅,70.29平米,南,简装,低楼层(共6层),闵行,438,"62,314元/平"
蔷薇新村 ,2室2厅,90.65平米,南,简装,中楼层(共6层),闵行,455,"50,194元/平"
爱庐世纪新苑 ,2室2厅,82.69平米,西,简装,低楼层(共17层),闵行,435,"52,607元/平"
小富人家 ,2室1厅,80.7平米,南,精装,中楼层(共6层),闵行,548,"67,906元/平"
莘城苑 ,2室2厅,81.93平米,南,简装,高楼层(共6层),闵行,392,"47,846元/平"
报春二村 ,2室1厅,62.97平米,南,精装,高楼层(共6层),闵行,380,"60,347元/平"
绿梅三村 ,2室1厅,69.94平米,南,简装,高楼层(共6层),闵行,437,"62,483元/平"
静安新城一区 ,2室1厅,66.6平米,南,简装,低楼层(共6层),闵行,490,"73,574元/平"
春申五村 ,2室1厅,62.05平米,南,精装,高楼层(共6层),闵行,439,"70,750元/平"
好世鹿鸣苑 ,2室2厅,109.74平米,南,精装,中楼层(共11层),闵行,1090,"99,326元/平"
高兴花园二三四街坊 ,2室1厅,69.53平米,南,简装,高楼层(共6层),闵行,479,"68,892元/平"
众众德尚世嘉 ,2室2厅,95.39平米,南,精装,低楼层(共6层),闵行,570,"59,755元/平"
莘南花苑一村 ,2室1厅,78.49平米,南,简装,高楼层(共6层),闵行,580,"73,895元/平"
